section,quantity,parameter,output,value,unit,tag,note
evpi_seed_replication,evpi_max,al_mean_ppm,npv_musd,0.6291803068191122,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,baseline_sd,al_mean_ppm,npv_musd,0.6775914652801416,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,switch_fraction_max,al_mean_ppm,npv_musd,0.0,fraction,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_mean,discount_rate,npv_musd,0.3652157013620953,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_sd,discount_rate,npv_musd,0.5390083312141978,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_max,discount_rate,npv_musd,1.3889594916288779,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,baseline_sd,discount_rate,npv_musd,0.6775914652801416,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,switch_fraction_max,discount_rate,npv_musd,0.0,fraction,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_mean,price,npv_musd,0.0,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_sd,price,npv_musd,0.0,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,evpi_max,price,npv_musd,0.0,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,baseline_sd,price,npv_musd,0.6775914652801416,MUSD,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_seed_replication,switch_fraction_max,price,npv_musd,0.0,fraction,COMPUTED,"ae.agent.decisions.evpi, n_outer=256, n_inner=256, seeds 11/23/37/53/71/97"
evpi_null_calibration,evpi_shipped,dummy,npv_musd,0.7697619148700028,MUSD,COMPUTED,dummy input drawn from a prior and discarded by the value function; TRUE EVPI is exactly 0
evpi_null_calibration,evpi_common_baseline,dummy,npv_musd,0.12331437280239044,MUSD,COMPUTED,"same dummy, re-formed against the shared baseline; this is the estimator NOISE FLOOR"
evpi_null_calibration,evpi_common_baseline,discount_rate,npv_musd,0.8634690852118716,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,capex_musd,npv_musd,0.7588384712380964,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,power_price,npv_musd,0.14991894411500795,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,reagent_price,npv_musd,0.14944114377320972,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,al_mean_ppm,npv_musd,0.14880909824064403,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,al_sigma_ppm,npv_musd,0.1386989943878021,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,dummy,npv_musd,0.12331437280239044,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,mass_yield_leach,npv_musd,-0.21864566420362763,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,mass_yield_flot,npv_musd,-0.34981973062132354,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_null_calibration,evpi_common_baseline,price,npv_musd,-0.8762044457847793,MUSD,COMPUTED,"single-parameter EVPI against one shared high-precision baseline, no per-call baseline"
evpi_group_control,evpi_closed_form,all_nine,npv_musd,0.4005102758817429,MUSD,COMPUTED,"E[max_a V] - max_a E[V], no nesting, 131072 draws"
